[2023-04-02 19:15:50,057]:INFO:lambda=0.1
[2023-04-02 19:15:50,057]:INFO:iter=29,mui=0.09
[2023-04-02 19:17:05,605]:INFO:model:easyocr,iter:29 mui:0.09 R:0.3709 P:0.3799 F:0.3753 MUI:0.0903
[2023-04-02 19:22:15,289]:INFO:model:psenet,iter:29 mui:0.09 R:0.5565 P:0.7995 F:0.6562 MUI:0.0903
[2023-04-02 19:33:12,723]:INFO:model:dbnet,iter:29 mui:0.09 R:0.8418 P:0.3086 F:0.4516 MUI:0.0903
[2023-04-02 19:37:26,693]:INFO:model:panpp,iter:29 mui:0.09 R:0.3807 P:0.7840 F:0.5126 MUI:0.0903
[2023-04-02 19:43:30,014]:INFO:model:panet,iter:29 mui:0.09 R:0.5869 P:0.4030 F:0.4779 MUI:0.0903
[2023-04-02 19:46:17,750]:INFO:model:craft,iter:29 mui:0.09 R:0.0393 P:0.7510 F:0.0747 MUI:0.0903
[2023-04-02 19:46:17,750]:INFO:iter=37,mui=0.12
[2023-04-02 19:47:11,052]:INFO:model:easyocr,iter:37 mui:0.12 R:0.1701 P:0.2687 F:0.2083 MUI:0.1186
[2023-04-02 19:51:08,822]:INFO:model:psenet,iter:37 mui:0.12 R:0.3062 P:0.6681 F:0.4199 MUI:0.1186
[2023-04-02 20:01:42,681]:INFO:model:dbnet,iter:37 mui:0.12 R:0.6800 P:0.2662 F:0.3826 MUI:0.1186
[2023-04-02 20:03:02,907]:INFO:model:panpp,iter:37 mui:0.12 R:0.0872 P:0.7319 F:0.1558 MUI:0.1186
[2023-04-02 20:08:25,348]:INFO:model:panet,iter:37 mui:0.12 R:0.3611 P:0.2955 F:0.3250 MUI:0.1186
[2023-04-02 20:10:36,821]:INFO:model:craft,iter:37 mui:0.12 R:0.0013 P:0.6000 F:0.0026 MUI:0.1186
