[2023-04-03 13:10:57,085]:INFO:lambda=0.1
[2023-04-03 13:10:57,086]:INFO:iter=31,mui=0.09
[2023-04-03 13:12:03,840]:INFO:model:easyocr,iter:31 mui:0.09 R:0.5370 P:0.4741 F:0.5036 MUI:0.0902
[2023-04-03 13:17:11,289]:INFO:model:psenet,iter:31 mui:0.09 R:0.6751 P:0.8337 F:0.7461 MUI:0.0902
[2023-04-03 13:27:34,340]:INFO:model:dbnet,iter:31 mui:0.09 R:0.8634 P:0.3177 F:0.4645 MUI:0.0902
[2023-04-03 13:33:41,159]:INFO:model:panpp,iter:31 mui:0.09 R:0.5618 P:0.7378 F:0.6379 MUI:0.0902
[2023-04-03 13:41:23,724]:INFO:model:panet,iter:31 mui:0.09 R:0.7122 P:0.3261 F:0.4474 MUI:0.0902
[2023-04-03 13:45:23,965]:INFO:model:craft,iter:31 mui:0.09 R:0.0754 P:0.7401 F:0.1368 MUI:0.0902
[2023-04-03 13:45:23,965]:INFO:iter=41,mui=0.12
[2023-04-03 13:47:35,919]:INFO:model:easyocr,iter:41 mui:0.12 R:0.2886 P:0.2675 F:0.2776 MUI:0.1197
[2023-04-03 13:51:49,388]:INFO:model:psenet,iter:41 mui:0.12 R:0.3777 P:0.6828 F:0.4864 MUI:0.1197
[2023-04-03 14:01:05,025]:INFO:model:dbnet,iter:41 mui:0.12 R:0.7013 P:0.2442 F:0.3622 MUI:0.1197
[2023-04-03 14:03:01,824]:INFO:model:panpp,iter:41 mui:0.12 R:0.1671 P:0.7106 F:0.2706 MUI:0.1197
[2023-04-03 14:09:37,860]:INFO:model:panet,iter:41 mui:0.12 R:0.5302 P:0.2323 F:0.3230 MUI:0.1197
[2023-04-03 14:11:31,147]:INFO:model:craft,iter:41 mui:0.12 R:0.0060 P:0.6014 F:0.0119 MUI:0.1197
