[2023-04-03 15:19:22,207]:INFO:lambda=0.01
[2023-04-03 15:19:22,208]:INFO:iter=35,mui=0.09
[2023-04-03 15:20:52,110]:INFO:model:easyocr,iter:35 mui:0.09 R:0.4614 P:0.3965 F:0.4265 MUI:0.0905
[2023-04-03 15:27:15,298]:INFO:model:psenet,iter:35 mui:0.09 R:0.6485 P:0.8021 F:0.7172 MUI:0.0905
[2023-04-03 15:40:03,198]:INFO:model:dbnet,iter:35 mui:0.09 R:0.8458 P:0.2933 F:0.4356 MUI:0.0905
[2023-04-03 15:46:11,445]:INFO:model:panpp,iter:35 mui:0.09 R:0.4766 P:0.7246 F:0.5750 MUI:0.0905
[2023-04-03 15:54:14,844]:INFO:model:panet,iter:35 mui:0.09 R:0.6821 P:0.3264 F:0.4415 MUI:0.0905
[2023-04-03 15:57:27,607]:INFO:model:craft,iter:35 mui:0.09 R:0.0612 P:0.7733 F:0.1134 MUI:0.0905
[2023-04-03 15:57:27,607]:INFO:iter=49,mui=0.12
[2023-04-03 15:58:42,184]:INFO:model:easyocr,iter:49 mui:0.12 R:0.2558 P:0.2549 F:0.2553 MUI:0.1185
[2023-04-03 16:03:34,137]:INFO:model:psenet,iter:49 mui:0.12 R:0.3813 P:0.6611 F:0.4836 MUI:0.1185
[2023-04-03 16:16:07,440]:INFO:model:dbnet,iter:49 mui:0.12 R:0.6843 P:0.2254 F:0.3391 MUI:0.1185
[2023-04-03 16:18:42,212]:INFO:model:panpp,iter:49 mui:0.12 R:0.1583 P:0.7095 F:0.2589 MUI:0.1185
[2023-04-03 16:27:12,076]:INFO:model:panet,iter:49 mui:0.12 R:0.5015 P:0.2348 F:0.3198 MUI:0.1185
[2023-04-03 16:29:35,344]:INFO:model:craft,iter:49 mui:0.12 R:0.0032 P:0.5301 F:0.0063 MUI:0.1185
