[2023-04-02 18:01:44,121]:INFO:lambda=0.1
[2023-04-02 18:01:44,121]:INFO:iter=27,mui=0.09
[2023-04-02 18:03:00,529]:INFO:model:easyocr,iter:27 mui:0.09 R:0.4479 P:0.4404 F:0.4441 MUI:0.0887
[2023-04-02 18:09:21,497]:INFO:model:psenet,iter:27 mui:0.09 R:0.6464 P:0.8223 F:0.7238 MUI:0.0887
[2023-04-02 18:24:17,385]:INFO:model:dbnet,iter:27 mui:0.09 R:0.8310 P:0.2327 F:0.3635 MUI:0.0887
[2023-04-02 18:30:13,200]:INFO:model:panpp,iter:27 mui:0.09 R:0.4994 P:0.7780 F:0.6083 MUI:0.0887
[2023-04-02 18:37:13,670]:INFO:model:panet,iter:27 mui:0.09 R:0.5858 P:0.3891 F:0.4676 MUI:0.0887
[2023-04-02 18:40:35,498]:INFO:model:craft,iter:27 mui:0.09 R:0.0599 P:0.7863 F:0.1113 MUI:0.0887
[2023-04-02 18:40:35,498]:INFO:iter=34,mui=0.12
[2023-04-02 18:41:41,978]:INFO:model:easyocr,iter:34 mui:0.12 R:0.2497 P:0.3215 F:0.2811 MUI:0.1182
[2023-04-02 18:46:31,429]:INFO:model:psenet,iter:34 mui:0.12 R:0.4009 P:0.7568 F:0.5242 MUI:0.1182
[2023-04-02 19:01:19,902]:INFO:model:dbnet,iter:34 mui:0.12 R:0.6729 P:0.1946 F:0.3019 MUI:0.1182
[2023-04-02 19:04:12,743]:INFO:model:panpp,iter:34 mui:0.12 R:0.1803 P:0.7159 F:0.2881 MUI:0.1182
[2023-04-02 19:11:12,258]:INFO:model:panet,iter:34 mui:0.12 R:0.4096 P:0.2717 F:0.3267 MUI:0.1182
[2023-04-02 19:13:42,237]:INFO:model:craft,iter:34 mui:0.12 R:0.0059 P:0.6949 F:0.0118 MUI:0.1182
