[2023-04-04 17:45:42,739]:INFO:lambda=0
[2023-04-04 17:45:42,739]:INFO:iter=28,mui=0.09
[2023-04-04 17:47:45,528]:INFO:model:easyocr,iter:28 mui:0.09 R:0.5356 P:0.4766 F:0.5044 MUI:0.0891
[2023-04-04 17:54:44,149]:INFO:model:psenet,iter:28 mui:0.09 R:0.7014 P:0.8458 F:0.7669 MUI:0.0891
[2023-04-04 18:06:54,635]:INFO:model:dbnet,iter:28 mui:0.09 R:0.8619 P:0.3517 F:0.4996 MUI:0.0891
[2023-04-04 18:14:41,128]:INFO:model:panpp,iter:28 mui:0.09 R:0.5949 P:0.7830 F:0.6761 MUI:0.0891
[2023-04-04 18:21:35,657]:INFO:model:panet,iter:28 mui:0.09 R:0.7160 P:0.4238 F:0.5325 MUI:0.0891
[2023-04-04 18:25:26,047]:INFO:model:craft,iter:28 mui:0.09 R:0.0834 P:0.7497 F:0.1501 MUI:0.0891
[2023-04-04 18:25:26,047]:INFO:iter=37,mui=0.12
[2023-04-04 18:27:04,018]:INFO:model:easyocr,iter:37 mui:0.12 R:0.2423 P:0.2945 F:0.2659 MUI:0.1211
[2023-04-04 18:32:11,006]:INFO:model:psenet,iter:37 mui:0.12 R:0.3306 P:0.6754 F:0.4439 MUI:0.1211
[2023-04-04 18:44:43,022]:INFO:model:dbnet,iter:37 mui:0.12 R:0.6829 P:0.2663 F:0.3832 MUI:0.1211
[2023-04-04 18:47:21,864]:INFO:model:panpp,iter:37 mui:0.12 R:0.1405 P:0.7354 F:0.2359 MUI:0.1211
