[2023-04-04 16:46:04,101]:INFO:lambda=0
[2023-04-04 16:46:04,101]:INFO:iter=30,mui=0.09
[2023-04-04 16:47:25,238]:INFO:model:easyocr,iter:30 mui:0.09 R:0.6828 P:0.6386 F:0.6599 MUI:0.0916
[2023-04-04 16:52:58,025]:INFO:model:psenet,iter:30 mui:0.09 R:0.8194 P:0.9327 F:0.8724 MUI:0.0916
[2023-04-04 16:58:38,239]:INFO:model:dbnet,iter:30 mui:0.09 R:0.8318 P:0.7893 F:0.8100 MUI:0.0916
[2023-04-04 17:04:28,958]:INFO:model:panpp,iter:30 mui:0.09 R:0.7060 P:0.8467 F:0.7700 MUI:0.0916
[2023-04-04 17:09:20,923]:INFO:model:panet,iter:30 mui:0.09 R:0.6773 P:0.5999 F:0.6363 MUI:0.0916
[2023-04-04 17:14:42,818]:INFO:model:craft,iter:30 mui:0.09 R:0.2350 P:0.4912 F:0.3179 MUI:0.0916
[2023-04-04 17:14:42,818]:INFO:iter=39,mui=0.12
[2023-04-04 17:15:56,038]:INFO:model:easyocr,iter:39 mui:0.12 R:0.4232 P:0.4257 F:0.4244 MUI:0.1213
[2023-04-04 17:20:37,061]:INFO:model:psenet,iter:39 mui:0.12 R:0.5505 P:0.8121 F:0.6562 MUI:0.1213
[2023-04-04 17:31:32,110]:INFO:model:dbnet,iter:39 mui:0.12 R:0.6813 P:0.2354 F:0.3499 MUI:0.1213
[2023-04-04 17:35:35,791]:INFO:model:panpp,iter:39 mui:0.12 R:0.3568 P:0.7109 F:0.4751 MUI:0.1213
[2023-04-04 17:42:40,940]:INFO:model:panet,iter:39 mui:0.12 R:0.5129 P:0.3234 F:0.3967 MUI:0.1213
[2023-04-04 17:45:42,738]:INFO:model:craft,iter:39 mui:0.12 R:0.0254 P:0.5643 F:0.0486 MUI:0.1213
